OperatingTime	UID	RequestURI
12:23:46	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index
12:23:46	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=api&url=http%3A%2F%2Fwww.hadsky.com%2Findex.php%3Fc%3Dapp%26a%3Dzhanzhang%3Aindex3%26s%3Dgetnotice
12:23:47	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app
12:23:48	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&t=hadskycloudserver
12:23:55	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=save&os=app&ot=hadskycloudserver&table=set&chkcsrfval=c5599274558f02e97470a14c9b27fa1f
12:23:55	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&t=hadskycloudserver&id=&pkalert=show&alert=%E6%93%8D%E4%BD%9C%E6%88%90%E5%8A%9F%EF%BC%81&rnd=8743
12:25:59	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app
12:26:02	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&t=hadskycloudserver&ml=uninstall
12:26:02	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&alert=%E4%B8%8D%E5%8F%AF%E5%8D%B8%E8%BD%BD%E7%B3%BB%E7%BB%9F%E9%BB%98%E8%AE%A4%E5%BA%94%E7%94%A8%EF%BC%81&pkalert=show&rnd=4031
12:26:15	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&t=superadmin&ml=uninstall
12:26:15	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&alert=%E4%B8%8D%E5%8F%AF%E5%8D%B8%E8%BD%BD%E7%B3%BB%E7%BB%9F%E9%BB%98%E8%AE%A4%E5%BA%94%E7%94%A8%EF%BC%81&pkalert=show&rnd=6751
12:26:17	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&t=superadmin
12:26:20	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&t=hadskycloudserver
12:26:20	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&t=puyuetian_search
12:26:28	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app&t=hadskycloudserver
12:27:34	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set
19:20:52	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index
19:20:52	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=api&url=http%3A%2F%2Fwww.hadsky.com%2Findex.php%3Fc%3Dapp%26a%3Dzhanzhang%3Aindex3%26s%3Dgetnotice
19:20:54	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set
19:21:05	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=save&os=set&ot=&table=set&chkcsrfval=c5599274558f02e97470a14c9b27fa1f
19:21:05	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=&id=&pkalert=show&alert=%E6%93%8D%E4%BD%9C%E6%88%90%E5%8A%9F%EF%BC%81&rnd=3116
19:21:14	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=div
19:22:14	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=save&os=set&ot=div&table=set&chkcsrfval=c5599274558f02e97470a14c9b27fa1f
19:22:14	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=div&id=&pkalert=show&alert=%E6%93%8D%E4%BD%9C%E6%88%90%E5%8A%9F%EF%BC%81&rnd=5848
19:26:09	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=save&os=set&ot=div&table=set&chkcsrfval=c5599274558f02e97470a14c9b27fa1f
19:26:09	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=div&id=&pkalert=show&alert=%E6%93%8D%E4%BD%9C%E6%88%90%E5%8A%9F%EF%BC%81&rnd=1137
19:29:10	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=home
19:29:10	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=api&url=http%3A%2F%2Fwww.hadsky.com%2Findex.php%3Fc%3Dapp%26a%3Dzhanzhang%3Aindex3%26s%3Dgetnotice
19:29:11	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=api&url=http%3A%2F%2Fwww.hadsky.com%2Findex.php%3Fc%3Dapp%26a%3Dzhanzhang%3Aindex3%26s%3Dchkupdate%26nowversion%3D040600
19:29:13	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=home&t=logs
19:29:16	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=home&t=cache
19:29:18	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=home&t=ips
19:29:19	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=home&t=websafe
19:29:27	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=home&t=info
